,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
0,s0e0,0.0,0.0,20,0,M20,4089.8853895913685,4351.785030135014,-3150.0,9876.502730672373,4678.713176666854,2550.0,ENTm1
1,s0e1,32.0,0.0,20,0,M20,4089.8853895913685,4351.785030135014,-3150.0,9876.502730672373,4678.713176666854,2550.0,ENTm1
2,s0e2,0.0,15.0,20,0,M20,4091.4335229851854,4336.865134592653,-3150.0,9876.666069710544,4662.823397398017,2550.0,ENTm1
3,s0e3,32.0,15.0,20,0,M20,4091.4335229851854,4336.865134592653,-3150.0,9876.666069710544,4662.823397398017,2550.0,ENTm1
4,s0e4,0.0,30.0,20,0,M20,4092.9816563790023,4321.945239050293,-3150.0,9876.829408748714,4646.93361812918,2550.0,ENTm1
5,s0e5,32.0,30.0,20,0,M20,4092.9816563790023,4321.945239050293,-3150.0,9876.829408748714,4646.93361812918,2550.0,ENTm1
6,s0e6,0.0,45.0,20,0,M20,4094.529789772819,4307.025343507932,-3150.0,9876.992747786884,4631.043838860341,2550.0,ENTm1
7,s0e7,32.0,45.0,20,0,M20,4094.529789772819,4307.025343507932,-3150.0,9876.992747786884,4631.043838860341,2550.0,ENTm1
8,s0e8,0.0,60.0,20,0,M20,4096.0779231666365,4292.105447965571,-3150.0,9877.156086825054,4615.154059591501,2550.0,ENTm1
9,s0e9,32.0,60.0,20,0,M20,4096.0779231666365,4292.105447965571,-3150.0,9877.156086825054,4615.154059591501,2550.0,ENTm1
10,s0e10,0.0,75.0,20,0,M20,4097.626056560453,4277.185552423211,-3150.0,9877.319425863225,4599.2642803226645,2550.0,ENTm1
11,s0e11,32.0,75.0,20,0,M20,4097.626056560453,4277.185552423211,-3150.0,9877.319425863225,4599.2642803226645,2550.0,ENTm1
12,s0e12,0.0,90.0,20,0,M20,4099.17418995427,4262.265656880851,-3150.0,9877.482764901393,4583.374501053826,2550.0,ENTm1
13,s0e13,32.0,90.0,20,0,M20,4099.17418995427,4262.265656880851,-3150.0,9877.482764901393,4583.374501053826,2550.0,ENTm1
14,s0e14,0.0,105.0,20,0,M20,4100.722323348087,4247.34576133849,-3150.0,9877.646103939565,4567.484721784987,2550.0,ENTm1
15,s0e15,32.0,105.0,20,0,M20,4100.722323348087,4247.34576133849,-3150.0,9877.646103939565,4567.484721784987,2550.0,ENTm1
16,s0e16,0.0,120.0,20,0,M20,4102.270456741904,4232.42586579613,-3150.0,9877.809442977734,4551.59494251615,2550.0,ENTm1
17,s0e17,32.0,120.0,20,0,M20,4102.270456741904,4232.42586579613,-3150.0,9877.809442977734,4551.59494251615,2550.0,ENTm1
18,s0e18,0.0,135.0,20,0,M20,4103.818590135721,4217.505970253769,-3150.0,9877.972782015904,4535.705163247312,2550.0,ENTm1
19,s0e19,32.0,135.0,20,0,M20,4103.818590135721,4217.505970253769,-3150.0,9877.972782015904,4535.705163247312,2550.0,ENTm1
20,s0e20,0.0,150.0,20,0,M20,4105.366723529538,4202.586074711408,-3150.0,9878.136121054074,4519.815383978474,2550.0,ENTm1
21,s0e21,32.0,150.0,20,0,M20,4105.366723529538,4202.586074711408,-3150.0,9878.136121054074,4519.815383978474,2550.0,ENTm1
22,s0e22,0.0,165.0,20,0,M20,4106.914856923355,4187.6661791690485,-3150.0,9878.299460092245,4503.925604709635,2550.0,ENTm1
23,s0e23,32.0,165.0,20,0,M20,4106.914856923355,4187.6661791690485,-3150.0,9878.299460092245,4503.925604709635,2550.0,ENTm1
24,s0e24,0.0,180.0,20,0,M20,4108.462990317172,4172.746283626688,-3150.0,9878.462799130415,4488.0358254407965,2550.0,ENTm1
25,s0e25,32.0,180.0,20,0,M20,4108.462990317172,4172.746283626688,-3150.0,9878.462799130415,4488.0358254407965,2550.0,ENTm1
26,s0e26,0.0,195.0,20,0,M20,4110.011123710989,4157.826388084327,-3150.0,9878.626138168585,4472.146046171959,2550.0,ENTm1
27,s0e27,32.0,195.0,20,0,M20,4110.011123710989,4157.826388084327,-3150.0,9878.626138168585,4472.146046171959,2550.0,ENTm1
28,s0e28,0.0,210.0,20,0,M20,4111.5592571048055,4142.906492541966,-3150.0,9878.789477206756,4456.2562669031195,2550.0,ENTm1
29,s0e29,32.0,210.0,20,0,M20,4111.5592571048055,4142.906492541966,-3150.0,9878.789477206756,4456.2562669031195,2550.0,ENTm1
30,s0e30,0.0,225.0,20,0,M20,4113.107390498622,4127.986596999606,-3150.0,9878.952816244926,4440.366487634282,2550.0,ENTm1
31,s0e31,32.0,225.0,20,0,M20,4113.107390498622,4127.986596999606,-3150.0,9878.952816244926,4440.366487634282,2550.0,ENTm1
32,s0e32,0.0,240.0,20,0,M20,4114.655523892439,4113.0667014572455,-3150.0,9879.116155283096,4424.476708365444,2550.0,ENTm1
33,s0e33,32.0,240.0,20,0,M20,4114.655523892439,4113.0667014572455,-3150.0,9879.116155283096,4424.476708365444,2550.0,ENTm1
34,s0e34,0.0,255.0,20,0,M20,4116.203657286256,4098.146805914885,-3150.0,9879.279494321265,4408.586929096606,2550.0,ENTm1
35,s0e35,32.0,255.0,20,0,M20,4116.203657286256,4098.146805914885,-3150.0,9879.279494321265,4408.586929096606,2550.0,ENTm1
36,s0e36,0.0,270.0,20,0,M20,4117.751790680074,4083.226910372525,-3150.0,9879.442833359437,4392.697149827767,2550.0,ENTm1
37,s0e37,32.0,270.0,20,0,M20,4117.751790680074,4083.226910372525,-3150.0,9879.442833359437,4392.697149827767,2550.0,ENTm1
38,s0e38,0.0,285.0,20,0,M20,4119.299924073891,4068.307014830164,-3150.0,9879.606172397607,4376.807370558929,2550.0,ENTm1
